Ecoregion Name,EVI_EOS_COUNT,EVI_EOS_KURTOSIS,EVI_EOS_MEAN,EVI_EOS_MEDIAN,EVI_EOS_SD,EVI_POS_END_COUNT,EVI_POS_END_KURTOSIS,EVI_POS_END_MEAN,EVI_POS_END_MEDIAN,EVI_POS_END_SD,EVI_POS_LENGTH_COUNT,EVI_POS_LENGTH_KURTOSIS,EVI_POS_LENGTH_MEAN,EVI_POS_LENGTH_MEDIAN,EVI_POS_LENGTH_SD,EVI_POS_START_COUNT,EVI_POS_START_KURTOSIS,EVI_POS_START_MEAN,EVI_POS_START_MEDIAN,EVI_POS_START_SD,EVI_SOS_COUNT,EVI_SOS_KURTOSIS,EVI_SOS_MEAN,EVI_SOS_MEDIAN,EVI_SOS_SD,NDVI_EOS_COUNT,NDVI_EOS_KURTOSIS,NDVI_EOS_MEAN,NDVI_EOS_MEDIAN,NDVI_EOS_SD,NDVI_POS_END_COUNT,NDVI_POS_END_KURTOSIS,NDVI_POS_END_MEAN,NDVI_POS_END_MEDIAN,NDVI_POS_END_SD,NDVI_POS_LENGTH_COUNT,NDVI_POS_LENGTH_KURTOSIS,NDVI_POS_LENGTH_MEAN,NDVI_POS_LENGTH_MEDIAN,NDVI_POS_LENGTH_SD,NDVI_POS_START_COUNT,NDVI_POS_START_KURTOSIS,NDVI_POS_START_MEAN,NDVI_POS_START_MEDIAN,NDVI_POS_START_SD,NDVI_SOS_COUNT,NDVI_SOS_KURTOSIS,NDVI_SOS_MEAN,NDVI_SOS_MEDIAN,NDVI_SOS_SD,.geo
WEST-CENTRAL SEMI-ARID PRAIRIES,829892,2.88433417,0.332719911,0.275645644,0.551736558,2546921,2.998635673,0.061566289,0.008768548,0.625566938,2546921,9.127676826,-0.177047786,-0.156812293,0.567574692,2546921,2.262676004,0.284976913,0.308475284,0.461672213,319496,4.962274327,-0.085387539,-0.042428311,0.468513898,829892,2.620242741,0.353840001,0.275519544,0.546695649,2546921,2.649894146,0.224718645,0.155480736,0.764356512,2546921,6.508095675,-0.065572513,-0.039728147,0.752205419,2546921,1.8189593,0.33175331,0.341644737,0.496032829,319496,5.195552738,-0.050037361,-0.041879759,0.483820875,"{""type"":""MultiPoint"",""coordinates"":[]}"
SOUTH CENTRAL SEMI-ARID PRAIRIES,2064639,2.908504337,0.108298812,0.001381245,0.555047092,2984095,3.910786552,-0.145065892,-0.073761971,0.927395458,2984095,3.397512522,-0.384093619,-0.315497646,1.109835763,2984095,4.032145484,0.353482123,0.30909984,0.756142233,1355746,4.971290988,0.102312824,0.032815493,0.607391504,2064639,3.416936084,0.096040963,0.001272534,0.607247698,2984095,3.946311269,-0.254024013,0.00865934,0.860352858,2984095,3.136559595,-0.486192524,-0.446479038,1.215654199,2984095,3.997551686,0.344862795,0.185157282,0.761675905,1355746,4.59244968,0.077065917,0.033349496,0.750283624,"{""type"":""MultiPoint"",""coordinates"":[]}"
TEXAS-LOUISIANA COASTAL PLAIN,38248,3.695840749,0.050614683,7.79E-04,0.607239246,77037,2.410184607,-0.486876613,-0.34462849,1.033284115,77037,0.932846463,-0.426219187,-0.445242942,1.48467854,77037,5.661067119,0.114966357,0.002256775,0.699175831,15660,3.188288446,-0.347917244,-0.221195105,1.115934506,38248,4.286975102,0.047910207,7.94E-04,0.675762418,77037,36.41308705,-0.056898383,2.91E-04,0.515772824,77037,4.839712256,-0.254979982,-0.072404365,1.14617831,77037,13.50073251,0.148437338,7.54E-04,0.545826364,15660,2.190580644,-0.7365585,-0.569063319,1.454545082,"{""type"":""MultiPoint"",""coordinates"":[]}"
TAMAULIPAS-TEXAS SEMIARID PLAIN,97618,2.026620313,0.088999535,2.40E-04,0.635771093,211460,8.279756576,-0.287680355,0.001113213,0.697454453,211460,0.665973817,0.09027266,-0.070298523,1.72238279,211460,10.9767925,0.028100006,0.002825751,0.927061112,9325,5.514035818,0.273435149,0.276262942,0.877986316,97618,3.409851377,0.136234081,1.04E-04,0.704136822,211460,183.8467821,-0.024617656,1.97E-04,0.272113157,211460,1.836289672,0.522342928,0.008607554,1.513866053,211460,32.08104172,-0.003846325,8.51E-04,0.550944415,9325,2.832239654,0.372208523,0.403853093,1.113776519,"{""type"":""MultiPoint"",""coordinates"":[]}"
COLD DESERTS,938048,10.04719794,0.195002198,0.154744122,0.306059645,3171759,3.865290361,0.115112493,0.017319233,0.807442336,3171759,3.003528901,0.011067454,0.024093417,1.033449844,3171759,6.426618979,0.062661588,0.012052295,0.43886936,284942,4.413848825,-0.123644615,0.009228674,0.705791616,938048,13.86750656,0.15772316,0.154238768,0.262692951,3171759,5.151083789,0.054974798,0.009830661,0.761286977,3171759,3.950194874,-0.126910197,0.017238581,1.040121079,3171759,10.00054347,0.0949587,0.00695231,0.416577903,284942,6.033339986,-0.180343425,-0.078319476,0.724923738,"{""type"":""MultiPoint"",""coordinates"":[]}"
WARM DESERTS,64756,7.376933159,0.096549819,6.89E-04,0.465415409,98990,13.68441431,0.086693165,0.004124943,0.746246889,98990,5.553037917,-0.010945678,0.008140655,1.229969903,98990,12.07255572,0.111751782,6.85E-04,0.699040054,15178,1.011910331,0.659095379,0.655320648,1.233174403,64756,9.145467342,0.066176852,6.27E-04,0.473283682,98990,39.35546774,0.039580559,0.001759061,0.543920454,98990,8.314820953,0.058297707,0.004188435,1.124279669,98990,13.99612062,0.043014143,4.63E-04,0.697239807,15178,2.055444909,0.593988851,0.679820833,1.348570073,"{""type"":""MultiPoint"",""coordinates"":[]}"
MEDITERRANEAN CALIFORNIA,150483,389.7886399,-6.95E-04,8.92E-06,0.138000302,172651,19.28270223,-0.207148356,0.010375905,0.798114578,172651,16.73435043,-0.171958611,0.014076006,0.850797542,172651,283.2428164,0.005164328,2.47E-05,0.164411663,729,5.397004678,0.05503453,0.096238319,0.729896761,150483,688.1223708,0.001709704,4.67E-06,0.119841639,172651,40.53008626,-0.220886923,0.005438379,0.626337077,172651,35.20804362,-0.220005154,0.007096174,0.688125122,172651,609.4539793,0.002342174,1.04E-05,0.130808194,729,6.461997962,-0.003250321,0.012963386,0.911217717,"{""type"":""MultiPoint"",""coordinates"":[]}"
WESTERN SIERRA MADRE PIEDMONT,40234,5.795421223,0.166314186,1.69E-04,0.315211129,44703,2.654882676,-0.011647311,0.001204129,0.507323351,44703,3.174733455,0.046952338,0.093995875,1.057507937,44703,6.476159401,0.004694762,0.00168898,0.572280517,22519,2.102437458,-0.776627118,-0.724741691,0.934305274,40234,3.633577678,0.272280487,0.13999544,0.398384933,44703,3.882797442,-0.039357103,6.40E-04,0.464828268,44703,4.611814203,0.013202432,0.0046082,0.985615621,44703,18.19123686,0.009539065,0.001376823,0.470989787,22519,1.975889614,-0.995526304,-0.907972607,0.987474215,"{""type"":""MultiPoint"",""coordinates"":[]}"
UPPER GILA MOUNTAINS (?),51117,5.384098986,0.100617767,3.21E-04,0.369928881,177857,4.443679782,-0.100949801,0.001330678,0.57157342,177857,2.604920259,-0.356975568,-0.096456338,1.218645719,177857,2.766266014,0.260270531,0.001894235,0.750665994,31348,1.84204206,-0.42512393,-0.481310982,0.906923091,51117,5.237624592,0.072929993,4.17E-04,0.494150362,177857,7.425028803,-0.111505195,1.07E-04,0.445842716,177857,7.385157533,-0.095362138,0.00627696,1.067662052,177857,7.888420613,-0.004322054,9.79E-04,0.724695597,31348,2.989071916,-0.585931051,-0.659430288,0.933566373,"{""type"":""MultiPoint"",""coordinates"":[]}"
EVERGLADES,123,18.68144622,0.025064834,0,0.527254226,2839,28.63954303,0.114238852,8.11E-04,1.101755771,2839,7.972366641,-0.335406132,0.002103932,1.623336742,2839,55.62626669,0.010478731,6.99E-05,0.380571958,2,-2,-0.44047619,-0.44047619,0.55952381,123,9.416258437,0.075786677,0,0.770729053,2839,229.0036509,0.036635419,0,0.485133649,2839,43.39756709,-0.087913074,2.48E-04,0.851067749,2839,162.0839359,0.027726546,2.70E-05,0.406875656,2,-2,-0.528186275,-0.528186275,0.013480392,"{""type"":""MultiPoint"",""coordinates"":[]}"
